,r
197,61.25
198,61.5625
199,61.875
200,62.1875
201,62.5
202,62.8125
203,63.125
204,63.4375
205,63.75
206,64.0625
207,64.375
208,64.6875
209,65.0
210,65.3125
211,65.625
212,65.9375
213,66.25
214,66.5625
215,66.875
216,67.1875
217,67.5
218,67.8125
219,68.125
220,68.4375
221,68.75
222,69.0625
223,69.375
224,69.6875
225,70.0
226,70.3125
227,70.625
228,70.9375
229,71.25
230,71.5625
231,71.875
232,72.1875
233,72.5
234,72.8125
235,73.125
236,73.4375
237,73.75
238,74.0625
239,74.375
240,74.6875
241,75.0
242,75.3125
243,75.625
244,75.9375
245,76.25
246,76.5625
247,76.875
248,77.1875
249,77.5
250,77.8125
251,78.125
252,78.4375
253,78.75
254,79.0625
255,79.375
256,79.6875
257,80.0
258,80.3125
259,80.625
260,80.9375
261,81.25
262,81.5625
263,81.875
264,82.1875
265,82.5
266,82.8125
267,83.125
268,83.4375
269,83.75
270,84.0625
271,84.375
272,84.6875
273,85.0
274,85.3125
275,85.625
276,85.9375
277,86.25
278,86.5625
279,86.875
280,87.1875
281,87.5
282,87.8125
283,88.125
284,88.4375
285,88.75
286,89.0625
287,89.375
288,89.6875
289,90.0
290,90.3125
291,90.625
292,90.9375
293,91.25
294,91.5625
295,91.875
296,92.1875
297,92.5
298,92.8125
299,93.125
300,93.4375
301,93.75
302,94.0625
303,94.375
304,94.6875
305,95.0
306,95.3125
307,95.625
308,95.9375
309,96.25
310,96.5625
311,96.875
312,97.1875
313,97.5
314,97.8125
315,98.125
316,98.4375
317,98.75
318,99.0625
319,99.375
320,99.6875
321,100.0
322,100.3125
323,100.625
324,100.9375
325,101.25
326,101.5625
327,101.875
328,102.1875
329,102.5
330,102.8125
331,103.125
332,103.4375
333,103.75
334,104.0625
335,104.375
336,104.6875
337,105.0
338,105.3125
339,105.625
340,105.9375
341,106.25
342,106.5625
343,106.875
344,107.1875
345,107.5
346,107.8125
347,108.125
348,108.4375
349,108.75
350,109.0625
351,109.375
352,109.6875
353,110.0
354,110.3125
355,110.625
356,110.9375
357,111.25
358,111.5625
359,111.875
360,112.1875
361,112.5
362,112.8125
363,113.125
364,113.4375
365,113.75
366,114.0625
367,114.375
368,114.6875
369,115.0
370,115.3125
371,115.625
372,115.9375
373,116.25
374,116.5625
375,116.875
376,117.1875
377,117.5
378,117.8125
379,118.125
380,118.4375
381,118.75
382,119.0625
383,119.375
384,119.6875
385,120.0
386,120.3125
387,120.625
388,120.9375
389,121.25
390,121.5625
391,121.875
392,122.1875
393,122.5
394,122.8125
395,123.125
396,123.4375
397,123.75
398,124.0625
399,124.375
400,124.6875
401,125.0
402,125.3125
403,125.625
404,125.9375
405,126.25
406,126.5625
407,126.875
408,127.1875
409,127.5
410,127.8125
411,128.125
412,128.4375
413,128.75
414,129.0625
415,129.375
416,129.6875
417,130.0
418,130.3125
419,130.625
420,130.9375
421,131.25
422,131.5625
423,131.875
424,132.1875
425,132.5
426,132.8125
427,133.125
428,133.4375
429,133.75
430,134.0625
431,134.375
432,134.6875
433,135.0
434,135.3125
435,135.625
436,135.9375
437,136.25
438,136.5625
439,136.875
440,137.1875
441,137.5
442,137.8125
443,138.125
444,138.4375
445,138.75
446,139.0625
447,139.375
448,139.6875
449,140.0
450,140.3125
451,140.625
452,140.9375
453,141.25
454,141.5625
455,141.875
456,142.1875
457,142.5
458,142.8125
459,143.125
460,143.4375
461,143.75
462,144.0625
463,144.375
464,144.6875
465,145.0
466,145.3125
467,145.625
468,145.9375
469,146.25
470,146.5625
471,146.875
472,147.1875
473,147.5
474,147.8125
475,148.125
476,148.4375
477,148.75
478,149.0625
479,149.375
480,149.6875
481,150.0
482,150.3125
483,150.625
484,150.9375
485,151.25
486,151.5625
487,151.875
488,152.1875
489,152.5
490,152.8125
491,153.125
492,153.4375
493,153.75
494,154.0625
495,154.375
496,154.6875
497,155.0
498,155.3125
499,155.625
500,155.9375
501,156.25
502,156.5625
503,156.875
504,157.1875
505,157.5
506,157.8125
507,158.125
508,158.4375
509,158.75
510,159.0625
511,159.375
512,159.6875
